Blocker,Reports_affected,Issues,Provenance_note
Independent n or experimental unit,93,110,Archived final figure summary; underlying issue-level blocker registry was not present in the supplied release.
Figure-only values,92,96,Archived final figure summary; underlying issue-level blocker registry was not present in the supplied release.
Missing supplementary or raw data,79,84,Archived final figure summary; underlying issue-level blocker registry was not present in the supplied release.
Other unresolved issue,76,101,Archived final figure summary; underlying issue-level blocker registry was not present in the supplied release.
Variance or uncertainty,63,79,Archived final figure summary; underlying issue-level blocker registry was not present in the supplied release.
Unit or internal inconsistency,29,35,Archived final figure summary; underlying issue-level blocker registry was not present in the supplied release.
Treatment-control mapping,19,19,Archived final figure summary; underlying issue-level blocker registry was not present in the supplied release.
Particle or exposure characterization,14,14,Archived final figure summary; underlying issue-level blocker registry was not present in the supplied release.
