Reusability_class,Reports,Provenance_note
A. Variance-complete continuous effect size,52,"Derived final classification; count independently checkable from S02 using YES for treatment-control mapping, experimental unit, group means, variance, and group-specific independent n."
B. Exact binary or published effect estimate,5,Archived final classification summary; row-level assignment not preserved in supplied release.
C. Exact quantitative data but incomplete for primary synthesis,83,Archived final classification summary; row-level assignment not preserved in supplied release.
D. Partial or figure-only quantitative evidence,17,Archived final classification summary; row-level assignment not preserved in supplied release.
E. Directional or narrative evidence only,1,Archived final classification summary; row-level assignment not preserved in supplied release.
