class,reports,denominator
Suborganismal–apical aligned chain,75,158
Exposure-to-apical aligned chain,63,158
Population-reaching evidence,10,158
Suborganismal–apical co-measurement only,4,158
Ecosystem-reaching evidence,3,158
Apical outcome only,2,158
Suborganismal response only,1,158
