criterion,reports,denominator
Mixture or co-stressor context,86,158
Uptake or internal-dose verification,76,158
Exposure longer than 28 days,62,158
Non-spherical particle morphology,51,158
Measured exposure or particle verification,45,158
"Aged, weathered, or environmental particles",42,158
Inter- or multigenerational design,28,158
Mesocosm or field setting,0,158
