domain,n_labels
Growth,73
Oxidative stress,71
Internal dose,70
Histopathology,51
Reproduction,50
Survival and mortality,50
Behavior,39
Gene expression,39
Microbiome,31
Development and malformation,29
Oxidative stress and antioxidant defence,29
Antioxidant defence,28
